"STATISTIC","Statistic Label","C02407V02905","Building Sector","C01989V02424","Type of Purchases","TLIST(A1)","Year","UNIT","VALUE"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23222","Fuel oil for stationary uses - kerosene","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23224","Fuel oil for stationary uses - other fuel oil","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23224","Fuel oil for stationary uses - other fuel oil","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23224","Fuel oil for stationary uses - other fuel oil","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","233","Electricity","2005","2005","Euro Thousand","454"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","233","Electricity","2006","2006","Euro Thousand","545"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","233","Electricity","2007","2007","Euro Thousand","711"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23","All purchases of materials, fuel and energy","2005","2005","Euro Thousand","30692"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23","All purchases of materials, fuel and energy","2006","2006","Euro Thousand","36842"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23","All purchases of materials, fuel and energy","2007","2007","Euro Thousand","48697"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","231","Materials","2005","2005","Euro Thousand","21213"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","231","Materials","2006","2006","Euro Thousand","25463"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","231","Materials","2007","2007","Euro Thousand","32559"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","232","All fuel","2005","2005","Euro Thousand","9253"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","232","All fuel","2006","2006","Euro Thousand","11108"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","232","All fuel","2007","2007","Euro Thousand","15567"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","2321","All motor fuel","2005","2005","Euro Thousand","8126"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","2321","All motor fuel","2006","2006","Euro Thousand","9755"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","2321","All motor fuel","2007","2007","Euro Thousand","13916"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23211","Motor fuel - petrol","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23211","Motor fuel - petrol","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23211","Motor fuel - petrol","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23212","Motor fuel - auto diesel","2005","2005","Euro Thousand","6732"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23212","Motor fuel - auto diesel","2006","2006","Euro Thousand","8082"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23212","Motor fuel - auto diesel","2007","2007","Euro Thousand","10798"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23213","Motor fuel - LPG (for vehicles)","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23213","Motor fuel - LPG (for vehicles)","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23213","Motor fuel - LPG (for vehicles)","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","2322","All fuel oil for stationary uses","2005","2005","Euro Thousand","1127"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","2322","All fuel oil for stationary uses","2006","2006","Euro Thousand","1353"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","2322","All fuel oil for stationary uses","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23221","Fuel oil for stationary uses - gas, oil and diesel","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23221","Fuel oil for stationary uses - gas, oil and diesel","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23221","Fuel oil for stationary uses - gas, oil and diesel","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23222","Fuel oil for stationary uses - kerosene","2005","2005","Euro Thousand","0"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23222","Fuel oil for stationary uses - kerosene","2006","2006","Euro Thousand","0"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23222","Fuel oil for stationary uses - kerosene","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23223","Fuel oil for stationary uses - LPG (bottled gas)","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23224","Fuel oil for stationary uses - other fuel oil","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23224","Fuel oil for stationary uses - other fuel oil","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","23224","Fuel oil for stationary uses - other fuel oil","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","233","Electricity","2005","2005","Euro Thousand","226"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","233","Electricity","2006","2006","Euro Thousand","271"
"BAA07","Purchases in Building and Construction Industry (New Basis)","455","Renting of construction or demolition equipment with operator (455)","233","Electricity","2007","2007","Euro Thousand","571"
